relationship_row_id,doc_id,region,ethnography_group,entity_a,entity_a_type,entity_b,entity_b_type,scope_coded,reasoning,supporting_quote_raw,relation_label_raw,local_term_raw,symmetry_coded,relation_type_coded,confidence,notes,extracted_at
420,/Azande_Baxter_1953_17_KS,CentralAfrica,Azande,blood-brothers,kin_role,blood-brothers,kin_role,kinship,"Text states blood-brothers have licensed chaffing; a recurrent, institutionalized teasing tied to kin role.","Evans-Pritchard, 16, 1933; blood-brothers have licence, which is not permitted to others, to chaff each other freely in this way.",licence to chaff,,symmetric,insulting_license,0.85,,2026-07-06T08:56:40.407242+00:00
421,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,blood-brothers,kin_role,blood-brothers,kin_role,kinship,Text states blood-brothers stand to each other in a joking relationship; kin-role based licensed abuse.,"The behaviour which blood-brothers are expected to assume towards each other is the opposite of that required towards kin and in-laws, and they stand to each other in a sort of joking relationship. They abuse each other with impunity, saying things that would normally be considered causes of deep quarrels.",,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
422,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,bakulemi,clan,bakulemi,clan,within_group,Joking relationship extended in modified form to clansmen (bakulemi) — intra-societal clan-patterned teasing.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",,bakulemi,symmetric,joking_relationship,0.85,,2026-07-06T08:57:06.488410+00:00
423,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Abanvra,clan,Abangombi,clan,within_group,Author lists these named clans as having a permanent joking relationship with one another.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
424,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Abanvra,clan,Akalinga,clan,within_group,Named among clans with a permanent joking relationship; intra-societal clan pair.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
425,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Abanvra,clan,Agiti,clan,within_group,Listed together as clans among which permanent joking relationships exist.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
426,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Abangombi,clan,Akalinga,clan,within_group,Text groups these clans as having permanent joking ties.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
427,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Abangombi,clan,Agiti,clan,within_group,Explicitly listed among clans sharing permanent joking relations.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
428,/Azande_Baxter_1953_76_KS,CentralAfrica,Azande,Akalinga,clan,Agiti,clan,within_group,Included in the list of clans with a permanent joking relationship.,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",permanent joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:06.488410+00:00
429,/Azande_EvansPrittchard_1933_390-392a_KS,CentralAfrica,Azande,blood-brother,kin_role,blood-brother,kin_role,kinship,"Text describes recurring, culturally recognized teasing between blood-brothers ('Humor' partners).","“The pattern of behaviour between blood-brothers is one of intimacy and equality. One way in which intimacy and equality are expressed between the Humor partners is by each publicly insulting the other.... Thus one will shout to the other: ‘Ai friend! may they cut into your witchcraft! You are witches, you of the Akalinga clan! ’ To which the blood-brother replies: ‘He! may some one spear you! who told you that we are witches, my friend? You’ve just had a good meal over there so you come on a full stomach to pick a quarrel with me without cause. That’s a bad joke; you’re a nasty sly fellow.’",Humor partners,Humor,symmetric,joking_relationship,0.9,,2026-07-06T08:57:13.449948+00:00
